Date,value_gold,value_oil,value_silver,value_ruth,value_irid,value_pall,value_rhod,value_plat
2015-06-22,0.8048003499999997,0.9994662999999999,0.9998355000000002,0.99945,0.99565,0.97693,0.99945,0.98887
2015-06-23,0.8167945999999998,1.0000664,0.9999968500000002,0.99992,0.99,0.98394,0.99945,0.98887
2015-06-24,0.8049129999999998,0.9994558999999998,0.9998352000000001,0.99992,0.98435,0.97696,0.9899,0.97823
2015-06-25,0.7931205999999997,0.9988557999999998,0.9999937500000001,0.99945,0.9787,0.97696,0.99915,0.98893
2015-06-26,0.7931205999999997,0.9982598999999999,0.9998344500000003,0.99945,0.97305,0.98377,0.99915,0.99971
2015-06-29,0.7813550999999996,0.9988539999999999,0.9998344500000003,0.999,0.96755,0.9905,0.99915,0.99971
2015-07-01,0.7813550999999996,0.9988539999999999,0.9996752500000002,0.99855,0.96205,0.9905,0.99915,0.99971
2015-07-02,0.7931080499999996,0.9982846,0.9995181500000002,0.999,0.96755,0.98353,0.99915,0.99971
2015-07-06,0.8047988499999996,0.9977153,0.9993622000000002,0.99945,0.96755,0.99054,0.99915,0.99971
2015-07-07,0.7930946499999997,0.9971905,0.9993622000000002,0.99945,0.96205,0.99723,0.99115,0.99971
2015-07-08,0.7813913999999997,0.9971905,0.9995193000000002,0.999,0.9568,0.99058,0.9989,0.99971
2015-07-09,0.7813913999999997,0.9971905,0.9995193000000002,0.99855,0.95155,0.99058,0.9989,0.98939
2015-07-10,0.7813913999999997,0.9971905,0.9996719000000002,0.9981,0.95155,0.99058,0.9909,0.99975
2015-07-13,0.7813913999999997,0.9966631,0.9996719000000002,0.99765,0.95155,0.99716,0.9909,0.99975
2015-07-14,0.7697769499999997,0.997185,0.9998271500000001,0.99765,0.9463,0.99055,0.9909,0.99975
2015-07-15,0.7582043499999996,0.997185,0.9996728500000002,0.9972,0.95155,0.9839,0.9909,0.99975
2015-07-16,0.7582043499999996,0.997185,0.9998264500000001,0.99675,0.9463,0.97741,1.0009,0.99975
2015-07-17,0.7696933999999996,0.997185,0.9998264500000001,0.99675,0.9463,0.98379,1.0009,0.98963
2015-07-20,0.7582290999999998,0.9966761999999999,0.9999768500000001,0.99675,0.9463,0.97758,1.0009,0.99967
2015-07-21,0.7693346499999997,0.9971772999999999,0.9999768500000001,0.9963,0.94105,0.97149,1.0009,0.99967
2015-07-22,0.7803876999999996,0.9976831999999999,0.9999768500000001,0.99585,0.9358,0.97766,1.0009,0.99967
2015-07-23,0.7913686999999997,0.9981759,0.9999768500000001,0.9963,0.9358,0.97151,1.0009,0.99967
2015-07-24,0.8023718999999997,0.9981759,0.9999768500000001,0.99585,0.9358,0.97784,1.0009,0.99967
